ticker,name,provider,asset_class,mer,distribution_yield,risk_rating,currency,tracking_index,inception_date,aum_millions,management_fee,perf_1y,perf_3y,perf_5y,perf_since_inception,sector_1_label,sector_1_weight,sector_2_label,sector_2_weight,sector_3_label,sector_3_weight,holding_1_label,holding_1_weight,holding_2_label,holding_2_weight,holding_3_label,holding_3_weight,holding_4_label,holding_4_weight,holding_5_label,holding_5_weight
DCBC,Desjardins Canadian Corporate Bond Index ETF,Desjardins,Fixed Income,0.25,3.55,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XLB,iShares Core Canadian Long Term Bond Index ETF,iShares,Fixed Income,0.25,3.98,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HCAL,Hamilton Enhanced Canadian Bank ETF,Hamilton,Equity,0.25,3.97,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RQP,RBC Target 2027 Canadian Corporate Bond Index ETF,RBC,Fixed Income,0.25,3.62,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCCL,Fidelity Canadian Low Volatility ETF,Fidelity,Equity,0.25,1.81,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZUT,BMO Equal Weight Utilities Index ETF,BMO,Equity,0.25,3.06,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VCNS,Vanguard Conservative ETF Portfolio,Vanguard,Multi-Asset,0.25,2.46,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZDI,BMO International Dividend ETF,BMO,Equity,0.25,3.13,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XMA,iShares S&P/TSX Capped Materials Index ETF,iShares,Equity,0.25,0.34,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RUD,RBC Quant U.S. Dividend Leaders ETF,RBC,Equity,0.25,1.35,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZEF,BMO Emerging Markets Bond Hedged to CAD Index ETF,BMO,Fixed Income,0.25,4.26,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
NINT,NBI Active International Equity ETF,NBI,Equity,0.25,1.26,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CBO,iShares 1-5 Year Laddered Corporate Bond Index ETF,iShares,Fixed Income,0.25,3.4,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QQCE,Invesco ESG NASDAQ 100 Index ETF,Invesco,Equity,0.25,0.34,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCIN,Fidelity All-International Equity ETF,Fidelity,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VI,Vanguard FTSE Developed All Cap ex North America Index ETF (CAD-hedged),Vanguard,Equity,0.25,2.22,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZDY,BMO US Dividend ETF,BMO,Equity,0.25,1.56,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HISU.U,US High Interest Savings Account Fund,Other,Fixed Income,0.25,3.97,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VDU,Vanguard FTSE Developed All Cap ex U.S. Index ETF,Vanguard,Equity,0.25,2.46,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
